Timestamp,LogLevel,CPU_Percent,RAM_MB,Message
"2026-06-04 15:36:04,848",INFO,0.0,427.2,Logging system initialized. Outputting structured logs exclusively to CSV.
"2026-06-04 15:36:04,849",INFO,0.0,427.2,"System details: Python PID=31616, Logical CPUs=12, OS RAM Total=7.7 GB"
"2026-06-04 15:36:04,850",INFO,3560.0,427.2,Speech-to-Text Pipeline execution started.
"2026-06-04 15:36:04,850",INFO,0.0,427.2,=== Starting Section: Loading Hugging Face Pyannote Diarization Pipeline ===
"2026-06-04 15:36:08,360",INFO,113.9,564.4,=== Finished Section: Loading Hugging Face Pyannote Diarization Pipeline (Duration: 3.510s | RAM Change: +137.1MB) ===
"2026-06-04 15:36:08,361",INFO,0.0,564.4,=== Starting Section: Loading and Preprocessing Audio file ===
"2026-06-04 15:36:08,514",INFO,541.7,568.2,"Original Audio details: duration=60.01s, channels=1, sample_rate=22050Hz"
"2026-06-04 15:36:08,532",INFO,532.1,567.5,"Audio normalized to mono, 16kHz, 16-bit depth."
"2026-06-04 15:36:08,532",INFO,0.0,567.5,=== Finished Section: Loading and Preprocessing Audio file (Duration: 0.171s | RAM Change: +3.2MB) ===
"2026-06-04 15:36:08,533",INFO,0.0,567.5,=== Starting Section: Loading OpenAI Whisper Model ===
"2026-06-04 15:36:11,350",INFO,183.0,1509.4,=== Finished Section: Loading OpenAI Whisper Model (Duration: 2.817s | RAM Change: +941.8MB) ===
"2026-06-04 15:36:11,351",INFO,4234.4,1509.5,=== Starting Section: Converting Full Audio to Float32 Waveform ===
"2026-06-04 15:36:11,352",DEBUG,0.0,1509.5,"Entering 'segment_to_float32' - Arguments: args=(<pydub.audio_segment.AudioSegment object at 0x000002344BAF2C10>,), kwargs={}"
"2026-06-04 15:36:11,352",DEBUG,0.0,1509.5,"Converting segment to float32: duration=60.01s, channels=1, rate=16000Hz"
"2026-06-04 15:36:11,357",DEBUG,0.0,1515.1,"Exiting 'segment_to_float32' - Output: ndarray (shape=(960086,), dtype=float32) | Time: 0.0047s"
"2026-06-04 15:36:11,358",INFO,0.0,1515.1,"Full waveform tensor shape=torch.Size([1, 960086]), dtype=torch.float32"
"2026-06-04 15:36:11,358",INFO,0.0,1515.1,=== Finished Section: Converting Full Audio to Float32 Waveform (Duration: 0.007s | RAM Change: +5.6MB) ===
"2026-06-04 15:36:11,359",INFO,0.0,1515.1,=== Starting Section: Running Pyannote Speaker Diarization ===
"2026-06-04 15:36:53,570",INFO,564.9,1982.1,=== Finished Section: Running Pyannote Speaker Diarization (Duration: 42.207s | RAM Change: +466.1MB) ===
"2026-06-04 15:36:53,576",INFO,0.0,1982.8,=== Starting Section: Optimizing Speaker Segments Timeline ===
"2026-06-04 15:36:53,577",DEBUG,0.0,1982.8,"Entering 'build_clean_segments' - Arguments: args=(<pyannote.core.annotation.Annotation object at 0x000002344FCAB610>,), kwargs={}"
"2026-06-04 15:36:53,578",INFO,0.0,1982.9,"Timeline extraction: raw=1, discarded noise (<0.6s)=0, kept=1"
"2026-06-04 15:36:53,579",DEBUG,0.0,1982.9,"Entering 'merge_same_speaker' - Arguments: args=([(0.03096875, 60.12284375, 'SPEAKER_00')],), kwargs={'merge_gap': 0.35}"
"2026-06-04 15:36:53,579",INFO,0.0,1982.9,"Merging same-speaker segments. Input count: 1, Gap threshold: 0.35s"
"2026-06-04 15:36:53,580",INFO,0.0,1982.9,"Merging complete. Output count: 1 (merged 0 segments) | Time Complexity: O(n), Space Complexity: O(n)"
"2026-06-04 15:36:53,580",DEBUG,0.0,1982.9,Exiting 'merge_same_speaker' - Output: list of length 1 | Time: 0.0007s
"2026-06-04 15:36:53,581",DEBUG,0.0,1982.9,"Entering 'split_overlaps' - Arguments: args=([(0.03096875, 60.12284375, 'SPEAKER_00')],), kwargs={}"
"2026-06-04 15:36:53,581",INFO,0.0,1982.9,Resolving overlapping speaker segments. Input count: 1
"2026-06-04 15:36:53,581",INFO,0.0,1982.9,"Overlap resolution complete. Output count: 1 (performed 0 splits/truncations) | Time Complexity: O(n), Space Complexity: O(n)"
"2026-06-04 15:36:53,582",DEBUG,0.0,1982.9,Exiting 'split_overlaps' - Output: list of length 1 | Time: 0.0008s
"2026-06-04 15:36:53,582",DEBUG,0.0,1982.9,"Entering 'merge_same_speaker' - Arguments: args=([(0.03096875, 60.12284375, 'SPEAKER_00')],), kwargs={'merge_gap': 0.01}"
"2026-06-04 15:36:53,582",INFO,0.0,1982.9,"Merging same-speaker segments. Input count: 1, Gap threshold: 0.01s"
"2026-06-04 15:36:53,583",INFO,0.0,1982.9,"Merging complete. Output count: 1 (merged 0 segments) | Time Complexity: O(n), Space Complexity: O(n)"
"2026-06-04 15:36:53,583",DEBUG,0.0,1982.9,Exiting 'merge_same_speaker' - Output: list of length 1 | Time: 0.0007s
"2026-06-04 15:36:53,583",DEBUG,0.0,1982.9,Exiting 'build_clean_segments' - Output: list of length 1 | Time: 0.0056s
"2026-06-04 15:36:53,584",INFO,4452.8,1982.9,=== Finished Section: Optimizing Speaker Segments Timeline (Duration: 0.007s | RAM Change: +0.2MB) ===
"2026-06-04 15:36:53,584",INFO,0.0,1983.0,Speaker Diarization complete: Found 1 unique speakers: ['SPEAKER_00']
"2026-06-04 15:36:53,585",INFO,10651.0,1983.0,Starting Whisper transcription for 1 segments.
"2026-06-04 15:36:53,585",INFO,7727.5,1983.0,=== Starting Section: Transcribing 1 audio segments ===
"2026-06-04 15:36:53,586",INFO,2025.8,1983.0,Transcribing segment 1/1: [0.03s -- 60.12s] for SPEAKER_00
"2026-06-04 15:36:53,593",DEBUG,0.0,1986.8,"Entering 'segment_to_float32' - Arguments: args=(<pydub.audio_segment.AudioSegment object at 0x000002344BAF2850>,), kwargs={}"
"2026-06-04 15:36:53,594",DEBUG,0.0,1986.8,"Converting segment to float32: duration=59.98s, channels=1, rate=16000Hz"
"2026-06-04 15:36:53,599",DEBUG,276.2,1990.6,"Exiting 'segment_to_float32' - Output: ndarray (shape=(959600,), dtype=float32) | Time: 0.0052s"
"2026-06-04 15:37:58,134",INFO,578.2,2256.4,"Segment 1 transcribed successfully in 64.55s: ""Welcome to samplolid.com, a free online resource f..."""
"2026-06-04 15:37:59,320",INFO,133.4,1944.8,=== Finished Section: Transcribing 1 audio segments (Duration: 65.735s | RAM Change: -38.2MB) ===
"2026-06-04 15:37:59,321",INFO,0.0,1944.8,Done. Wrote transcript to: transcript.txt
